id,name,committed_start_date,committed_end_date,duration_weeks,num_elevators,required_skills,award_status,procurement_date
1,Sycamore Center — Safety Check,2026-03-23,2026-03-23,0.14,0,"Gearless,Geared",awarded,
2,Elm Bank — Modernization,2026-03-24,2026-03-26,0.43,0,Gen2,awarded,
3,Elm Office — Emergency Fix,2026-04-09,2026-04-14,0.57,0,Compass,awarded,
4,Pine Courthouse — Service Call,2026-04-02,2026-04-05,0.29,0,Geared,prospect,
5,Poplar Center — Door Adjustment,2026-04-07,2026-04-08,0.29,0,"Gearless,Gen2",awarded,
6,Cherry Center — Modernization,2026-04-20,2026-04-21,0.29,0,"Gearless,Geared",awarded,2026-04-17
7,Walnut Mall — Modernization,2026-04-08,2026-04-08,0.14,0,Compass,awarded,
8,Poplar Medical — Door Adjustment,2026-04-21,2026-04-22,0.29,0,"Gen2,Geared",awarded,2026-04-17
9,Poplar Medical — Service Call,2026-04-21,2026-04-22,0.21,0,Gen2,awarded,2026-04-17
10,Cypress Complex — Callback,2026-04-16,2026-04-19,0.21,0,"Gearless,Geared",awarded,
11,Dogwood Courthouse — PM Visit,2026-04-01,2026-04-01,0.14,0,"Machine Replacement,Gearless",awarded,
12,Maple Office — Emergency Fix,2026-03-27,2026-03-30,0.21,0,"Compass,Gen2",awarded,
13,Spruce Bank — Repair,2026-03-25,2026-03-31,0.71,0,Compass,awarded,
14,Cypress Tower — Callback,2026-04-21,2026-04-21,0.14,0,"Gearless,Machine Replacement",awarded,
15,Willow Complex — PM Visit,2026-03-30,2026-04-02,0.57,0,"Gen2,Gearless",awarded,
16,Cherry Residences — Repair,2026-04-15,2026-04-15,0.14,0,"Gen2,Gearless",awarded,2026-04-10
17,Sycamore Complex — Inspection,2026-04-16,2026-04-19,0.21,0,Gen2,awarded,
18,Willow Bank — Modernization,2026-04-15,2026-04-19,0.43,0,Gearless,awarded,
19,Ash Residences — Service Call,2026-04-08,2026-04-09,0.29,0,"Gearless,Compass",awarded,
20,Ash Center — Repair,2026-03-23,2026-03-24,0.29,0,"Machine Replacement,Geared",awarded,2026-03-20
21,Dogwood Garage — Tune-Up,2026-03-25,2026-03-26,0.29,0,"Geared,Gearless",awarded,2026-03-23
22,Walnut Library — Emergency Fix,2026-04-13,2026-04-14,0.21,0,Geared,awarded,
23,Cedar Residences — Modernization,2026-03-24,2026-03-26,0.43,0,"Gen2,Machine Replacement",awarded,
24,Pine Station — Door Adjustment,2026-04-15,2026-04-16,0.21,0,Geared,awarded,2026-04-13
25,Ash Office — Emergency Fix,2026-03-24,2026-03-24,0.14,0,"Machine Replacement,Gen2",prospect,
26,Poplar Medical — Tune-Up,2026-04-13,2026-04-15,0.43,0,Compass,prospect,2026-04-10
27,Dogwood Bank — Repair,2026-04-09,2026-04-12,0.29,0,"Machine Replacement,Compass",awarded,2026-04-08
28,Magnolia Office — Repair,2026-03-24,2026-03-25,0.29,0,Machine Replacement,awarded,
29,Ash Courthouse — Service Call,2026-03-25,2026-03-30,0.57,0,Gen2,awarded,
30,Dogwood Garage — Door Adjustment,2026-04-01,2026-04-07,0.71,0,"Machine Replacement,Gen2",awarded,
31,Cherry Station — PM Visit,2026-04-02,2026-04-05,0.29,0,Gearless,awarded,
32,Pine Bank — Modernization,2026-03-23,2026-03-23,0.14,0,Machine Replacement,prospect,
33,Walnut Hotel — Inspection,2026-04-02,2026-04-07,0.57,0,Gearless,awarded,
34,Cedar Complex — Callback,2026-04-15,2026-04-19,0.43,0,"Gearless,Gen2",awarded,
35,Hickory Apartments — Callback,2026-03-26,2026-03-26,0.14,0,"Machine Replacement,Geared",awarded,
36,Spruce Plaza — Repair,2026-04-13,2026-04-16,0.57,0,Gen2,awarded,
37,Beech Bank — Repair,2026-03-27,2026-03-30,0.29,0,"Gearless,Geared",awarded,
38,Maple Library — Inspection,2026-03-25,2026-03-25,0.14,0,"Geared,Gen2",awarded,
39,Cedar Mall — Door Adjustment,2026-04-03,2026-04-05,0.07,0,Gen2,awarded,2026-04-01
40,Birch Library — Repair,2026-04-17,2026-04-21,0.43,0,"Geared,Machine Replacement",awarded,
41,Cedar Courthouse — Repair,2026-04-06,2026-04-06,0.14,0,Geared,awarded,
42,Ash Residences — Repair,2026-04-01,2026-04-05,0.43,0,Compass,awarded,
43,Spruce Mall — Door Adjustment,2026-04-08,2026-04-09,0.21,0,Gearless,awarded,
44,Birch Garage — Callback,2026-04-21,2026-04-23,0.43,0,"Gearless,Gen2",awarded,
45,Hawthorn Church — Service Call,2026-03-26,2026-03-26,0.07,0,"Compass,Gearless",awarded,
46,Magnolia Bank — Modernization,2026-04-16,2026-04-20,0.43,0,Gearless,awarded,
47,Cedar Hotel — Door Adjustment,2026-04-09,2026-04-12,0.29,0,Gearless,awarded,
48,Willow Library — Emergency Fix,2026-04-21,2026-04-22,0.29,0,Gearless,awarded,2026-04-17
49,Willow Library — Safety Check,2026-04-17,2026-04-19,0.14,0,"Gearless,Compass",awarded,2026-04-14
50,Magnolia Clinic — Inspection,2026-04-20,2026-04-26,0.71,0,Compass,awarded,
51,Ash Hotel — Modernization,2026-04-03,2026-04-13,1.0,0,"Machine Replacement,Gearless",awarded,
52,Pine Station — Emergency Fix,2026-03-27,2026-04-13,1.71,0,Gen2,awarded,
53,Elm Building — Emergency Fix,2026-04-08,2026-04-23,1.71,0,Compass,awarded,
54,Cypress Complex — Tune-Up,2026-03-30,2026-04-16,2.0,0,"Machine Replacement,Compass",awarded,2026-03-27
55,Birch Clinic — Tune-Up,2026-04-10,2026-05-05,2.57,0,"Machine Replacement,Compass",awarded,
