id,name,requested_start_date,requested_end_date,duration_weeks,num_elevators,required_skills,award_status
1,Pyramid Building,2026-05-18,2027-07-12,60,6,"Gen2,Compass",awarded
2,Metropolitan Medical Center,2026-03-08,2026-07-26,20,2,"Geared",awarded
3,Gateway Shopping Plaza,2026-06-22,2026-11-09,20,2,"Gearless,Compass",awarded
4,Lincoln High School,2026-04-14,2027-01-19,40,4,"Gen2",awarded
5,Grand Plaza Hotel,2026-05-04,2026-09-21,20,2,"Geared,Compass",awarded
6,Riverside Office Tower,2026-06-01,2026-06-29,4,2,"Compass",awarded
7,Harborview Condominiums,2025-12-01,2026-11-30,52,4,"Gen2,Geared",awarded
8,City Hall Renovation,2026-01-15,2026-08-13,30,3,"Gearless,Machine Replacement",awarded
9,Northgate Tech Campus,2026-02-20,2026-08-07,24,2,"Gen2,Compass",awarded
10,Lakeside Apartments,2026-03-01,2026-06-21,16,2,"Geared,Compass",awarded
11,Downtown Luxury Tower,2026-01-10,2026-07-25,28,3,"Gen2,Compass",awarded
12,Westfield Corporate Center,2026-02-01,2026-07-05,22,2,"Gearless,Machine Replacement",awarded
13,Harbor Heights Residences,2026-02-15,2026-06-21,18,2,"Geared,Machine Replacement",awarded
14,Elmwood Tower Touchup,2026-04-06,2026-04-20,2,0,,awarded
15,Bayside Plaza Touchup,2026-07-13,2026-07-27,2,0,,awarded
