id,personnel_id,project_id,sequence,start_date,end_date,assignment_type,allocated_days
1,1,52,1,2026-02-21,2026-07-08,full,1.0
2,4,25,1,2026-03-09,2027-03-01,full,1.0
3,4,54,2,2027-02-27,2027-09-29,full,1.0
4,5,30,1,2026-01-22,2027-06-06,full,1.0
5,6,4,1,2026-02-17,2027-07-04,full,1.0
6,7,8,1,2026-02-24,2026-09-25,full,1.0
7,9,46,1,2026-03-24,2026-04-04,full,1.0
8,9,19,2,2026-04-11,2027-01-12,full,1.0
9,10,21,1,2026-01-10,2027-03-12,full,1.0
10,11,26,1,2026-02-06,2026-06-18,full,1.0
11,11,34,2,2026-06-23,2027-04-05,full,1.0
12,15,39,1,2026-02-13,2027-04-20,full,1.0
13,16,11,1,2026-02-27,2026-07-21,full,1.0
14,16,15,2,2026-07-26,2027-12-05,full,1.0
15,17,38,1,2026-01-01,2026-12-19,full,1.0
16,18,53,1,2026-02-12,2027-08-22,full,1.0
17,19,24,1,2026-03-30,2026-08-25,full,1.0
18,19,14,2,2026-08-21,2028-03-03,full,1.0
19,20,58,1,2026-01-27,2027-08-22,full,1.0
20,22,28,1,2026-03-30,2027-10-21,full,1.0
21,23,5,1,2026-01-27,2027-03-14,full,1.0
22,24,55,1,2026-01-09,2026-12-25,full,1.0
23,25,18,1,2026-02-02,2026-08-24,full,1.0
24,25,43,2,2026-08-19,2027-01-19,full,1.0
25,26,35,1,2026-04-03,2027-05-31,full,1.0
26,27,44,1,2026-01-16,2026-12-24,full,1.0
27,28,9,1,2026-03-10,2027-07-13,full,1.0
28,29,36,1,2026-03-14,2027-07-27,full,1.0
29,30,13,1,2026-03-19,2026-08-17,full,1.0
30,32,45,1,2026-04-12,2026-11-20,full,1.0
31,33,56,1,2026-01-13,2027-01-05,full,1.0
32,35,7,1,2026-03-01,2026-03-19,full,1.0
33,36,23,1,2026-02-09,2026-07-12,full,1.0
34,36,33,2,2026-07-10,2026-12-01,full,1.0
35,37,31,1,2026-03-21,2026-10-29,full,1.0
36,37,59,2,2026-10-25,2027-01-03,full,1.0
37,40,22,1,2026-02-22,2027-04-12,full,1.0
38,42,42,1,2026-03-15,2026-12-28,full,1.0
39,43,41,1,2026-03-21,2027-03-01,full,1.0
40,44,60,1,2026-04-11,2027-08-16,full,1.0
41,45,50,1,2026-02-16,2027-06-26,full,1.0
42,46,29,1,2026-03-13,2026-05-19,full,1.0
43,46,3,2,2026-05-28,2026-06-09,full,1.0
44,47,16,1,2026-03-16,2027-09-17,full,1.0
45,48,48,1,2026-03-02,2027-04-25,full,1.0
46,49,10,1,2026-01-10,2027-07-16,full,1.0
47,50,12,1,2025-12-19,2026-12-12,full,1.0
48,38,2,1,2026-03-26,2027-03-24,full,1.0
49,5,37,1,2026-03-15,2027-05-04,full,1.0
50,6,47,1,2026-01-25,2027-08-02,full,1.0
