id,name,committed_start_date,committed_end_date,duration_days,num_elevators,required_skills,award_status,procurement_date
1,Pinecrest Hotel,2025-12-15,2026-02-23,70,1,"Geared,Compass",awarded,
2,Willowbrook Luxury Tower,2026-03-23,2027-03-08,350,5,Compass,awarded,
3,Greenfield Prep,2026-05-04,2026-05-18,14,0,,awarded,
4,Hillcrest Hotel,2026-02-09,2027-06-14,490,7,Compass,awarded,
5,Greenfield Convention Center,2026-01-19,2027-03-15,420,6,"Gen2,Compass",awarded,
6,Pyramid Prep,2025-12-29,2026-01-05,7,0,,awarded,
7,Stonegate Prep,2026-02-16,2026-02-23,7,0,,awarded,
8,Grand University Hall,2026-02-23,2026-09-21,210,3,"Gearless,Compass",awarded,
9,Lincoln Tower,2026-03-09,2027-07-12,490,7,Compass,awarded,
10,Brookside Shopping Plaza,2026-01-12,2027-07-26,560,8,"Gen2,Geared,Compass",awarded,
11,Maplewood Shopping Plaza,2026-03-02,2026-07-20,140,2,Compass,awarded,
12,Pinecrest Convention Center,2025-12-15,2026-11-30,350,5,"Gen2,Compass",awarded,
13,Clearwater City Hall,2026-03-16,2026-08-03,140,2,Gen2,awarded,
14,Greenfield Stadium,2026-07-27,2028-02-07,560,8,"Gen2,Compass",awarded,
15,Silverton Condominiums,2026-06-22,2027-10-25,490,7,Machine Replacement,awarded,
16,Ridgeline Museum,2026-03-02,2027-09-13,560,8,Gearless,awarded,
17,Pinecrest Museum,2025-12-08,2026-02-16,70,1,"Gearless,Compass",awarded,
18,Willowbrook Corporate Center,2026-01-26,2026-08-24,210,3,Gen2,awarded,
19,Meadowbrook City Hall,2026-05-04,2027-02-08,280,4,"Gen2,Gearless",awarded,
20,Pyramid Touchup,2026-02-09,2026-02-16,7,0,,awarded,
21,Lincoln University Hall,2025-12-29,2027-02-22,420,6,Compass,awarded,
22,Highland Condominiums,2026-02-16,2027-04-12,420,6,"Gearless,Machine Replacement",awarded,
23,Grand Stadium,2026-02-09,2026-06-29,140,2,"Gen2,Machine Replacement",awarded,
24,Silverton University Hall,2026-03-30,2026-08-17,140,2,Compass,awarded,
25,Harborview Museum,2026-03-16,2027-03-01,350,5,"Geared,Compass",awarded,
26,Oceanview Stadium,2026-02-09,2026-06-29,140,2,Gearless,awarded,
27,Highland Shopping Plaza,2026-06-15,2027-03-22,280,4,"Gearless,Compass",awarded,
28,Stonegate Convention Center,2026-03-16,2027-09-27,560,8,Machine Replacement,awarded,
29,Maplewood City Hall,2026-03-16,2026-05-25,70,1,"Gen2,Geared",awarded,
30,Hillcrest High School,2026-01-26,2027-05-31,490,7,"Gen2,Machine Replacement",awarded,
31,Downtown Shopping Plaza,2026-03-23,2026-10-19,210,3,"Gen2,Machine Replacement",awarded,
32,Riverside Office Tower,2025-12-15,2026-02-23,70,1,Machine Replacement,awarded,
33,Harborview Corporate Center,2026-07-13,2026-11-30,140,2,"Gen2,Geared",awarded,
